author_id,author_name
c3318e8e-e1fb-44dc-bdee-66a17e503ea2,Kor S.
1fcea7f5-cba4-4ac0-a490-d4f0721c3da5,Farzana N.
f05a1200-aa40-44c7-919f-589eb6773e6e,Chatterjee S.
defef913-b70f-416d-917f-19220a702f97,Pindado E.
1c344c94-b856-4474-a1f8-9538557bfbe3,Aldibiki A.
ac87d2e7-e51f-4d93-be07-6bffe124d22b,Brünig B.
0b1d34ba-0836-4320-9ed7-404ed92f4a44,Alvarez Gallo S.
f18c0957-ec0c-4794-8990-708ac7642e50,Al-Jayyousi O.
4e962a93-d280-4f60-a0e9-3aec10dda477,Chen G.
32e69c2e-ab7c-47d9-be33-bbbc85b2c1cd,Jia H.
3c3012e1-8580-467b-ba15-8f6af08b4dc0,Kastratović R.
988212fe-9f97-4bff-b6d3-00ed1dbed2a3,Vieira V.G.R.
9a2a256b-64f3-4176-9198-a32761b1699c,Qamruzzaman M.
15651902-5c74-4d1f-980a-66633d00a0cf,Wang E.Z.
22bfab6f-b90e-4a88-9df5-8f54df0bac82,Malaeb D.
d79db124-b44d-4aeb-8065-e74dbb450732,Toumbourou T.D.
54a44912-f50e-4913-be2b-28fcba4fb1ca,Laasli S.E.
547b3e36-68f3-4236-bac1-4ebe5fe6d07d,Shechory Bitton M.
439351dc-28c2-4a35-b997-48fda18493d3,Basedau M.
095152f0-22f4-4e93-a2ae-ad4840d68800,Torres É.P.
ef751a65-b954-473c-a584-326bba3984eb,Lamhour O.
a0f49e38-3b11-42e5-9d22-4fed48fd8b53,Chen Y.
2a520d4a-4290-4102-92f6-b34114e45d67,Ghosh S.
facdc331-a436-4848-b4bb-24468ea197db,Barcelos L.A.
e5b5f809-79d5-4e12-a583-86e8f93c08bd,Ishoso D.K.
2f31cf70-7333-4305-9c05-c5fac1089a06,Jiménez-Moreno M.
eb356520-00e0-4090-b361-b7351c68880c,Bezanson M.
7469f888-53e8-4fc9-a47e-18fc29e9fb96,Williamson S.
d80bf217-3306-4b24-bf4d-a9db72c8f5de,Aguocha C.M.
0bfb5e22-23bd-446e-95e8-360aefeb3ba7,Ed-Dafali S.
74593827-d3db-46ed-8d6d-01f101501725,Limbu Y.B.
5c8498de-0a41-4a06-95e7-325c9141bc96,Akhmetsadykova S.
a76d48ea-bee9-4621-8196-95201744ecff,El Fakir A.
cd1b513c-9fed-4ecb-b858-4ba5c89ced67,Dewaele J.M.
d613b9b3-995e-4268-8e0f-e90cec4f2953,Lysa C.
658fbed6-1d6e-4698-aeca-2f695a68f211,Benítez Fernández M.
0d2066ba-f921-4575-bb61-be2e52ac44e4,Mussino E.
da660c1e-95a3-4ecf-8dd8-232dd3bfcee8,Li X.
1254aa39-830a-46b4-9abd-e51fbb61d9d8,Kolandai K.
f8d08edc-8592-4b01-b16a-1d4ce5388cea,Eskandarany A.
e4b4d954-eedc-445d-a01a-364c3a66463d,Azanaw J.
573efe7e-6fcb-46da-a934-95292019e43a,Mazher M.
16a93450-a979-43bb-9e51-9f3c45d63227,Kraft T.S.
12557d7c-32bf-4a3f-936c-58bb0acb478f,Connolly M.M.
b2222a38-420a-4925-a3c3-fe3e2b1d8a2d,Kassem A.
02086a66-e1aa-4086-be11-08f4fd636dee,Engelcke D.
a4e6aab3-5666-4aa1-a285-0e72d5063991,Subhan A.
95bb72ab-1779-4a48-9de2-32c41997169f,Koenig H.G.
021d0c37-b365-4c3b-ae05-335a62d45345,Linden-Retek P.
1a299765-d761-488d-be13-81729475e8ac,Yu A.C.
39e61d45-903d-499a-aeb3-73eec2b17615,Hefner R.W.
3703aad6-9129-4c54-8b2a-e762380f061a,Khattab G.
3222e557-78a2-4377-a895-63ee84f728f0,Bashkim M.
2f946b75-f286-4ec9-9a87-5a011ec99fe5,Leandro F.J.B.S.
c02aaea9-bc7d-4965-9f3e-5f8f800c65b4,Gavriel-Fried B.
